threads,chunk_size,average_seconds
1,512,0.395799
1,1024,0.394435
1,2048,0.393598
1,4096,0.393935
2,512,0.201394
2,1024,0.209614
2,2048,0.196300
2,4096,0.207487
4,512,0.109012
4,1024,0.110186
4,2048,0.109177
4,4096,0.091370
6,512,0.076047
6,1024,0.078086
6,2048,0.075639
6,4096,0.062285
8,512,0.058834
8,1024,0.063475
8,2048,0.050595
8,4096,0.061438
10,512,0.061970
10,1024,0.061449
10,2048,0.060577
10,4096,0.055730
12,512,0.062650
12,1024,0.061118
12,2048,0.057489
12,4096,0.057065
14,512,0.063368
14,1024,0.062599
14,2048,0.061528
14,4096,0.052235
16,512,0.064140
16,1024,0.060252
16,2048,0.060435
16,4096,0.050209
1,1,0.679018
1,8192,0.391758
2,1,0.639258
2,8192,0.193257
4,1,0.517817
4,8192,0.102173
6,1,0.494996
6,8192,0.063528
8,1,0.487756
8,8192,0.049931
10,1,0.424581
10,8192,0.055622
12,1,0.391883
12,8192,0.058597
14,1,0.361023
14,8192,0.053410
16,1,0.348066
16,8192,0.053174
1,256,0.406347
1,16384,0.404613
2,256,0.216535
2,16384,0.192782
4,256,0.114329
4,16384,0.089196
6,256,0.078561
6,16384,0.076331
8,256,0.065909
8,16384,0.050161
10,256,0.065749
10,16384,0.053299
12,256,0.063958
12,16384,0.055940
14,256,0.063562
14,16384,0.053426
16,256,0.064806
16,16384,0.065790
