1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.419702,0.235840,0.154225,0.088496,0.074548,0.072248,0.072763,0.075296,0.077449
0.414172,0.231078,0.122721,0.088311,0.073194,0.070474,0.071425,0.074041,0.092296
0.412413,0.230545,0.125787,0.089220,0.074911,0.070358,0.074090,0.074191,0.073627
0.410741,0.231526,0.123923,0.087809,0.072155,0.069960,0.072493,0.076086,0.074589
0.402701,0.231265,0.123805,0.087218,0.070839,0.070934,0.073347,0.076080,0.091736
0.404946,0.228963,0.151065,0.087737,0.075890,0.071800,0.072871,0.073395,0.091320
0.403387,0.229306,0.125821,0.086903,0.071581,0.086653,0.073123,0.072743,0.075939
0.402800,0.229073,0.149619,0.087741,0.071650,0.071197,0.072482,0.075126,0.074205
0.403844,0.229733,0.120603,0.086481,0.077656,0.070484,0.087413,0.074659,0.074438
0.403224,0.231017,0.123431,0.090889,0.071833,0.069792,0.070862,0.090475,0.073548
0.403545,0.230190,0.123270,0.088706,0.072042,0.070604,0.073430,0.074116,0.073910
0.402894,0.230394,0.127689,0.087961,0.071642,0.069194,0.071822,0.074094,0.073295
0.404121,0.232201,0.156177,0.087430,0.072477,0.070055,0.072242,0.075572,0.074361
0.403239,0.231752,0.155425,0.087084,0.071102,0.085736,0.070781,0.075925,0.075364
0.403058,0.231381,0.123470,0.086362,0.072129,0.071141,0.070771,0.090920,0.093437
0.404169,0.231175,0.123723,0.087575,0.071064,0.085395,0.071962,0.091878,0.075282
0.402783,0.230754,0.124038,0.087251,0.074554,0.070487,0.087015,0.073976,0.075337
0.403975,0.232283,0.126931,0.087346,0.071038,0.071951,0.072676,0.074034,0.075089
0.404020,0.230856,0.129156,0.107637,0.072149,0.070705,0.071732,0.075262,0.073858
0.402499,0.230751,0.125094,0.090044,0.072938,0.070771,0.071954,0.091663,0.090848
0.403506,0.231348,0.128433,0.090686,0.070942,0.071096,0.072350,0.089852,0.075511
0.403409,0.231534,0.128600,0.090049,0.071254,0.084949,0.073252,0.074043,0.077200
0.409902,0.230650,0.124275,0.107921,0.072420,0.069507,0.071386,0.072289,0.089676
0.411769,0.231130,0.126002,0.088046,0.071437,0.071636,0.071878,0.072995,0.075180
0.411770,0.232543,0.127045,0.086859,0.071993,0.071019,0.074259,0.071404,0.074494
0.412479,0.231795,0.121857,0.088704,0.071905,0.070396,0.071961,0.075740,0.089845
0.411720,0.230843,0.126216,0.087794,0.071168,0.071234,0.088471,0.075874,0.073673
0.412201,0.231221,0.124552,0.088955,0.071168,0.071152,0.073297,0.074722,0.073578
0.411730,0.231481,0.122517,0.086418,0.071874,0.069259,0.073744,0.074035,0.072735
0.411365,0.231786,0.126996,0.087046,0.071287,0.069886,0.089505,0.089236,0.072600
0.413358,0.232596,0.124628,0.087296,0.071354,0.071489,0.071980,0.072683,0.074301
0.410767,0.231501,0.126085,0.091045,0.071746,0.071050,0.087336,0.073768,0.091425
0.411020,0.230221,0.124733,0.085775,0.071734,0.070933,0.072562,0.090184,0.074898
0.406946,0.229664,0.128328,0.087015,0.072546,0.071055,0.087881,0.073845,0.073806
0.403073,0.230984,0.125156,0.088560,0.071915,0.070378,0.070620,0.090511,0.075116
0.403696,0.229725,0.123144,0.087807,0.071791,0.070107,0.086645,0.075721,0.090085
0.404333,0.230330,0.123225,0.086817,0.071457,0.088003,0.072503,0.073130,0.074597
0.402824,0.229919,0.123963,0.089746,0.072670,0.070816,0.071035,0.091816,0.093450
0.408682,0.229507,0.125740,0.087918,0.072069,0.070970,0.075950,0.074580,0.075129
0.405256,0.221984,0.152517,0.087655,0.071954,0.072824,0.073462,0.089688,0.074789
0.403981,0.222333,0.123143,0.088769,0.069891,0.070685,0.073162,0.073340,0.076335
0.403083,0.225429,0.128559,0.088104,0.089359,0.071554,0.071153,0.075265,0.073841
0.405562,0.225494,0.126319,0.091463,0.072539,0.074140,0.074202,0.094035,0.075051
0.402870,0.226074,0.123233,0.089292,0.070270,0.069337,0.071871,0.073343,0.075034
0.408650,0.225783,0.129252,0.086923,0.075061,0.087350,0.074177,0.077849,0.075463
0.412440,0.225110,0.120628,0.086611,0.071226,0.070062,0.086894,0.074476,0.090549
0.410675,0.226266,0.125014,0.088539,0.076273,0.072211,0.071479,0.075137,0.089004
0.412007,0.229464,0.095322,0.087906,0.073868,0.071288,0.075350,0.074502,0.075046
