1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
1.044330,0.591012,0.335704,0.247335,0.210286,0.209524,0.202584,0.201566,0.207749
1.038727,0.605759,0.355596,0.243630,0.202119,0.207398,0.202849,0.199707,0.201574
1.041821,0.584310,0.330002,0.239648,0.204285,0.204813,0.206649,0.201721,0.201168
1.035629,0.582121,0.337363,0.243885,0.202735,0.211222,0.209246,0.208479,0.205553
1.036547,0.582882,0.340970,0.244620,0.207069,0.210496,0.205889,0.205052,0.204310
1.033906,0.576580,0.331988,0.244707,0.206831,0.206843,0.199169,0.205800,0.200707
1.033166,0.577134,0.334358,0.243930,0.201585,0.204820,0.203626,0.210449,0.203288
1.036352,0.577911,0.325790,0.242616,0.202774,0.210593,0.204768,0.203386,0.205014
1.032230,0.583599,0.332614,0.241311,0.202314,0.204596,0.206389,0.197902,0.210101
1.043732,0.588233,0.328106,0.248463,0.213816,0.208600,0.211101,0.202883,0.207377
1.062048,0.591777,0.327593,0.243014,0.206701,0.207466,0.204342,0.206009,0.202249
1.050063,0.576600,0.339808,0.243531,0.204732,0.210485,0.202304,0.205285,0.198450
1.041335,0.576264,0.329991,0.243087,0.203341,0.208832,0.201080,0.200769,0.208166
1.055150,0.577273,0.319438,0.241563,0.223207,0.215540,0.199756,0.205968,0.202874
1.056805,0.578974,0.325055,0.244743,0.203454,0.204850,0.206583,0.200037,0.199385
1.041636,0.585009,0.337805,0.243726,0.205013,0.206647,0.207312,0.204682,0.207107
1.037054,0.578412,0.344068,0.244432,0.200320,0.210409,0.210283,0.207272,0.209591
1.043595,0.574175,0.330940,0.245929,0.202710,0.206768,0.205101,0.209782,0.203976
1.037093,0.575847,0.331331,0.245212,0.204544,0.203599,0.205578,0.205878,0.201995
1.033013,0.576538,0.334600,0.243244,0.203170,0.205373,0.202320,0.202817,0.205672
1.033832,0.576489,0.328929,0.245007,0.201650,0.206202,0.205035,0.199732,0.205066
1.035488,0.575924,0.330295,0.244785,0.202310,0.205189,0.210402,0.203766,0.203664
1.033471,0.576499,0.336242,0.246071,0.199288,0.207871,0.201120,0.203516,0.198342
1.034437,0.575117,0.324590,0.242760,0.201602,0.205272,0.200463,0.205173,0.201793
1.033081,0.576482,0.336114,0.245195,0.200668,0.203537,0.200087,0.207240,0.204772
1.034792,0.578994,0.332462,0.242827,0.206433,0.211978,0.199344,0.205571,0.205617
1.041483,0.577812,0.333137,0.245246,0.204519,0.214621,0.200622,0.206912,0.209211
1.045276,0.576597,0.328632,0.243460,0.203035,0.216117,0.202195,0.206829,0.201190
1.044353,0.576402,0.336491,0.243766,0.205112,0.204632,0.207824,0.201187,0.201536
1.044665,0.575400,0.332397,0.243852,0.202604,0.205991,0.202971,0.200529,0.201843
1.044804,0.575226,0.326474,0.246067,0.206576,0.209813,0.204087,0.205120,0.207055
1.045747,0.575994,0.329680,0.240569,0.204475,0.212830,0.199024,0.203429,0.200388
1.045702,0.577083,0.331768,0.245140,0.205141,0.208943,0.202045,0.204732,0.201761
1.044604,0.575902,0.330997,0.240011,0.202761,0.205782,0.200781,0.203112,0.202748
1.038462,0.576714,0.329844,0.239011,0.202496,0.204883,0.206973,0.202628,0.200770
1.041391,0.577748,0.336205,0.241611,0.204860,0.206275,0.204285,0.203220,0.199853
1.041709,0.584005,0.333247,0.242097,0.200863,0.208094,0.206989,0.206018,0.202242
1.037551,0.579346,0.335348,0.243901,0.203898,0.206816,0.202638,0.204715,0.206000
1.037358,0.575835,0.334497,0.244540,0.204111,0.207459,0.200387,0.204054,0.202077
1.035827,0.577921,0.328274,0.245867,0.204494,0.209616,0.200623,0.206480,0.207450
1.035445,0.577768,0.330541,0.245839,0.208124,0.206883,0.206981,0.204106,0.197027
1.037375,0.577641,0.338207,0.243216,0.206990,0.215887,0.209896,0.200562,0.201143
1.034469,0.580931,0.336702,0.247444,0.203974,0.215631,0.210137,0.203292,0.204569
1.037150,0.585109,0.338338,0.240562,0.202861,0.214810,0.202595,0.201477,0.204862
1.038612,0.584046,0.327867,0.243238,0.202395,0.208914,0.203887,0.203518,0.207386
1.052938,0.584943,0.327922,0.242947,0.204212,0.206799,0.201304,0.200854,0.209055
1.043077,0.581652,0.328493,0.249365,0.207083,0.204188,0.206087,0.204758,0.204671
1.042195,0.582703,0.334211,0.243873,0.202281,0.209835,0.204972,0.201027,0.205019
1.040979,0.582862,0.330450,0.242656,0.205713,0.206330,0.202358,0.207187,0.205091
1.039635,0.582419,0.331542,0.245473,0.202386,0.203149,0.204179,0.205553,0.206708
1.051034,0.582097,0.338653,0.247270,0.200763,0.202116,0.203972,0.203018,0.203213
1.040597,0.581661,0.331707,0.242790,0.204935,0.209096,0.209633,0.203717,0.203587
1.040261,0.581585,0.334967,0.239141,0.204269,0.209304,0.214524,0.202123,0.198230
1.040011,0.580470,0.326396,0.241877,0.204678,0.206995,0.203252,0.200559,0.204806
1.039270,0.582360,0.330483,0.244266,0.202472,0.206197,0.203813,0.202034,0.204606
1.039077,0.584419,0.329685,0.237019,0.202314,0.205101,0.204058,0.199323,0.203888
1.040261,0.583600,0.329787,0.243483,0.204479,0.208660,0.202379,0.200993,0.207611
1.041781,0.583126,0.339259,0.242189,0.202218,0.207607,0.202106,0.202164,0.209290
1.043160,0.581134,0.330098,0.239542,0.205365,0.205467,0.199612,0.205798,0.205720
1.036689,0.580137,0.330072,0.244914,0.203705,0.203967,0.200742,0.205789,0.198430
1.036885,0.581425,0.324400,0.243391,0.203017,0.207661,0.201565,0.204229,0.205088
1.034044,0.584184,0.324738,0.242845,0.202793,0.210576,0.201022,0.203029,0.197657
1.034816,0.580526,0.338606,0.243255,0.202724,0.205882,0.202224,0.202793,0.198435
1.036911,0.575027,0.335961,0.243870,0.202409,0.204217,0.202612,0.210336,0.202977
1.059349,0.573908,0.330502,0.242020,0.202645,0.206268,0.199331,0.203402,0.207056
1.054080,0.575008,0.330022,0.243984,0.202058,0.203332,0.199145,0.198056,0.205288
1.055245,0.575006,0.333375,0.242013,0.203777,0.203903,0.209577,0.209166,0.205351
1.053135,0.574155,0.331814,0.245017,0.205336,0.206925,0.203569,0.206632,0.204971
1.046107,0.575321,0.335060,0.243463,0.202842,0.205241,0.204309,0.199642,0.207920
1.034927,0.574143,0.336228,0.247414,0.203077,0.203532,0.201584,0.199965,0.202174
1.033749,0.575742,0.321795,0.246029,0.203029,0.206339,0.202415,0.199279,0.204208
1.032543,0.575963,0.332922,0.246243,0.204243,0.204256,0.208475,0.202866,0.202209
1.032300,0.575657,0.325329,0.247553,0.203353,0.207722,0.202130,0.200491,0.204979
1.032420,0.577308,0.324983,0.249004,0.205670,0.205029,0.209585,0.206338,0.208770
1.035309,0.577146,0.328710,0.245958,0.202632,0.207589,0.208008,0.206403,0.203030
1.033485,0.575142,0.327711,0.246514,0.204044,0.205257,0.208175,0.204407,0.200585
1.035528,0.576046,0.329764,0.249080,0.205315,0.206796,0.203449,0.205944,0.203332
1.034344,0.575334,0.328103,0.240724,0.202836,0.205861,0.206603,0.214177,0.209653
1.034393,0.575564,0.324637,0.242336,0.205639,0.205896,0.211856,0.204762,0.203771
1.038386,0.575384,0.326687,0.244664,0.204486,0.203726,0.211572,0.204224,0.200971
1.033920,0.580908,0.329514,0.240054,0.203425,0.212110,0.200297,0.205483,0.208748
1.040217,0.574646,0.334559,0.248482,0.207387,0.207138,0.206163,0.204345,0.205116
1.040656,0.575069,0.325007,0.238363,0.203534,0.209474,0.206729,0.204882,0.201733
1.039824,0.575945,0.336502,0.240880,0.206034,0.212594,0.203943,0.208721,0.206283
1.041455,0.574312,0.324946,0.241008,0.202908,0.211724,0.205506,0.204339,0.203379
1.038944,0.575083,0.324743,0.241230,0.201379,0.214698,0.201017,0.205993,0.201747
1.042201,0.574992,0.336281,0.241756,0.210179,0.212460,0.211122,0.201613,0.202439
1.044600,0.574354,0.321207,0.241868,0.201933,0.206637,0.210053,0.210234,0.207676
1.045310,0.573632,0.321705,0.245529,0.205148,0.207783,0.209320,0.202572,0.197956
1.044418,0.574216,0.324652,0.245775,0.199886,0.204522,0.209043,0.203919,0.202011
