1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.386087,0.345396,0.290523,0.233391,0.167635,0.152312,0.137004,0.150663,0.155530
0.385735,0.342562,0.290719,0.230224,0.153540,0.150860,0.136370,0.139502,0.143507
0.386654,0.342317,0.289952,0.230756,0.164283,0.153315,0.138236,0.139199,0.120344
0.389584,0.340895,0.290548,0.230128,0.156599,0.154120,0.136668,0.139344,0.148024
0.389438,0.340516,0.289226,0.231251,0.155884,0.157477,0.137893,0.147590,0.154858
0.387477,0.340705,0.287770,0.233911,0.154445,0.140826,0.137156,0.153378,0.152987
0.389582,0.342727,0.287708,0.232436,0.154476,0.132444,0.136763,0.153213,0.142534
0.389075,0.341870,0.287839,0.231078,0.154591,0.141001,0.137223,0.151388,0.144415
0.386897,0.335313,0.288483,0.231091,0.154405,0.132776,0.136374,0.151710,0.158000
0.389479,0.334670,0.288233,0.229964,0.154761,0.132061,0.137318,0.152027,0.144431
0.388357,0.335344,0.289819,0.230002,0.154215,0.147407,0.136767,0.151588,0.146529
0.387409,0.337326,0.288243,0.232904,0.154618,0.141450,0.137126,0.152953,0.156590
0.386950,0.339371,0.288467,0.230460,0.154420,0.131996,0.136763,0.151503,0.137151
0.387806,0.338870,0.289059,0.238401,0.154809,0.132161,0.136640,0.150448,0.140486
0.388144,0.339712,0.288674,0.235962,0.154602,0.135774,0.136773,0.150224,0.141001
0.388484,0.340809,0.287698,0.240304,0.153232,0.136035,0.137804,0.153304,0.140377
0.386602,0.341878,0.288149,0.234941,0.153859,0.145940,0.136964,0.151161,0.136293
0.387946,0.338837,0.287743,0.233085,0.153260,0.151862,0.137668,0.151400,0.139746
0.390169,0.339670,0.289768,0.234997,0.153691,0.141489,0.138225,0.150192,0.143704
0.387784,0.338322,0.287863,0.232035,0.153575,0.134512,0.137962,0.149788,0.116991
0.386411,0.339525,0.290328,0.231504,0.155900,0.148889,0.136529,0.150670,0.141296
