1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.945356,0.748399,0.409840,0.300548,0.256651,0.235545,0.225177,0.258031,0.214755
0.939397,0.736650,0.399916,0.295857,0.246878,0.231975,0.220898,0.209914,0.210864
0.938030,0.735264,0.399905,0.297037,0.248331,0.232119,0.220822,0.210107,0.210616
0.939506,0.732056,0.401786,0.297020,0.245611,0.231836,0.221402,0.211464,0.210808
0.934836,0.731197,0.403403,0.297225,0.246474,0.231654,0.220884,0.211486,0.211280
0.947392,0.723115,0.401120,0.296340,0.245783,0.232114,0.220884,0.210595,0.210802
0.954665,0.721853,0.405988,0.298731,0.246075,0.231689,0.220983,0.210991,0.211160
0.956943,0.735453,0.404601,0.298054,0.245896,0.232405,0.220926,0.210880,0.210399
0.957016,0.731206,0.407065,0.298208,0.245496,0.231852,0.221294,0.211419,0.211234
0.957930,0.729375,0.403026,0.296750,0.245582,0.232567,0.221552,0.209836,0.211493
0.955124,0.732943,0.399903,0.295896,0.245830,0.231892,0.220837,0.210223,0.211892
0.959509,0.735192,0.401713,0.296309,0.245175,0.232302,0.222002,0.211060,0.211295
0.957611,0.731506,0.404742,0.295850,0.245970,0.232847,0.221230,0.210369,0.211744
0.949013,0.728873,0.403798,0.295498,0.246163,0.231950,0.221006,0.210822,0.210932
0.938474,0.730846,0.399116,0.296519,0.246231,0.232684,0.220757,0.210717,0.211212
0.936221,0.719774,0.399773,0.296410,0.245889,0.232504,0.220412,0.210270,0.211647
0.937578,0.723390,0.402813,0.295751,0.246005,0.232347,0.222007,0.210251,0.210698
0.935725,0.721368,0.401466,0.299078,0.245958,0.232363,0.221044,0.210515,0.211307
0.936603,0.723360,0.404384,0.301220,0.245818,0.232244,0.221642,0.209793,0.211297
0.937134,0.727544,0.403044,0.301998,0.245787,0.232366,0.221782,0.215135,0.211247
0.936702,0.722721,0.403519,0.300511,0.245901,0.232393,0.221732,0.212589,0.211163
0.936526,0.728957,0.400872,0.296870,0.245048,0.232306,0.221580,0.217820,0.211708
0.937357,0.725587,0.401568,0.295811,0.245301,0.232060,0.221502,0.222056,0.210742
0.934810,0.722681,0.401266,0.297612,0.245291,0.232591,0.221586,0.213003,0.210903
0.950695,0.724421,0.399834,0.296134,0.245672,0.232779,0.222157,0.213331,0.212175
0.959077,0.719567,0.399330,0.294409,0.245183,0.232527,0.221116,0.213290,0.212074
0.955779,0.730884,0.401328,0.296160,0.246448,0.231922,0.221094,0.212976,0.212293
0.975859,0.729530,0.399670,0.296137,0.247251,0.232608,0.221841,0.212782,0.213563
0.955833,0.722069,0.399776,0.295914,0.246238,0.232392,0.221561,0.212312,0.211223
0.955887,0.729297,0.400280,0.296953,0.245724,0.232346,0.222668,0.212990,0.211758
0.953019,0.727847,0.404147,0.296932,0.245599,0.232092,0.221542,0.212716,0.212321
0.958030,0.733335,0.405120,0.296124,0.246298,0.232432,0.221399,0.212351,0.211309
0.952074,0.726537,0.403786,0.296772,0.246824,0.232787,0.221334,0.213061,0.211668
0.937840,0.729100,0.408432,0.294441,0.246691,0.232670,0.221562,0.211993,0.211016
0.936660,0.732133,0.407937,0.297236,0.245887,0.232647,0.221824,0.212564,0.211209
0.939222,0.728935,0.407890,0.295570,0.246477,0.232529,0.221737,0.212610,0.211518
0.960912,0.727289,0.399330,0.296590,0.245650,0.232535,0.221667,0.211976,0.211636
0.960819,0.736760,0.398949,0.296061,0.245626,0.232314,0.221251,0.212273,0.211248
0.942503,0.726763,0.400580,0.294936,0.246250,0.232791,0.221318,0.212788,0.211434
0.939774,0.732934,0.405591,0.295820,0.246674,0.233350,0.221530,0.212703,0.212709
0.939281,0.726191,0.404416,0.294657,0.246739,0.233027,0.221184,0.213119,0.212119
0.937533,0.723739,0.404784,0.294789,0.245448,0.232573,0.222189,0.212313,0.211801
0.936900,0.728213,0.402766,0.298268,0.246847,0.233177,0.221394,0.212631,0.211657
0.937250,0.731828,0.404168,0.298207,0.246639,0.232954,0.221266,0.213163,0.212207
0.935122,0.722593,0.400207,0.297104,0.246198,0.232469,0.222180,0.213088,0.211051
0.936410,0.725717,0.398885,0.294643,0.245951,0.233131,0.221342,0.212706,0.212565
0.937247,0.725015,0.400661,0.295868,0.245887,0.232639,0.221512,0.212893,0.258131
0.938607,0.726451,0.399914,0.294692,0.246651,0.232561,0.222200,0.212835,0.215833
0.941514,0.722433,0.405203,0.296469,0.245933,0.232440,0.222332,0.212643,0.211445
0.937099,0.726640,0.405811,0.297603,0.246634,0.232715,0.222168,0.212475,0.212327
0.938111,0.723362,0.405072,0.296144,0.246782,0.232813,0.221800,0.212574,0.211273
0.940791,0.724365,0.405152,0.295167,0.246833,0.233058,0.221617,0.212527,0.211535
0.940006,0.731804,0.404344,0.296085,0.247051,0.233194,0.222035,0.212506,0.212001
0.938776,0.732512,0.404623,0.295692,0.246187,0.233032,0.221507,0.212826,0.212383
0.937926,0.723778,0.405447,0.296368,0.246970,0.233269,0.221757,0.213548,0.212440
0.943739,0.729573,0.401745,0.295268,0.247036,0.232499,0.221872,0.212571,0.211833
0.943731,0.726216,0.399615,0.296286,0.246800,0.232708,0.221506,0.212757,0.208890
0.942616,0.718904,0.399372,0.296104,0.245898,0.233442,0.221656,0.212702,0.213952
0.942883,0.730945,0.402530,0.296181,0.247346,0.232555,0.221788,0.212338,0.213083
0.932512,0.722185,0.402567,0.295772,0.247222,0.232628,0.221749,0.212493,0.211651
0.935663,0.725704,0.404297,0.296154,0.246944,0.232552,0.222230,0.212035,0.213546
0.938394,0.723973,0.405210,0.295146,0.247611,0.232595,0.221881,0.212026,0.212324
0.936074,0.726556,0.404671,0.296500,0.246069,0.232995,0.221742,0.211902,0.213442
0.948945,0.718826,0.401991,0.295766,0.246457,0.232319,0.221543,0.212367,0.212168
0.956007,0.725918,0.399836,0.297866,0.247331,0.232819,0.221112,0.212653,0.211964
0.954931,0.722640,0.398705,0.297082,0.246824,0.232964,0.222084,0.212457,0.211034
0.955793,0.724750,0.399309,0.297094,0.247386,0.232785,0.221787,0.212352,0.212229
0.958292,0.724682,0.398303,0.297821,0.246548,0.233431,0.221648,0.212576,0.211216
0.957227,0.732108,0.404474,0.298055,0.247054,0.232352,0.221749,0.212711,0.211918
0.957721,0.729908,0.404881,0.296804,0.247844,0.232603,0.221631,0.211958,0.212328
0.957671,0.732576,0.402195,0.298477,0.247044,0.233003,0.221966,0.212335,0.211921
0.958697,0.725389,0.401489,0.296041,0.246825,0.233075,0.222040,0.212908,0.211574
0.949068,0.740322,0.400437,0.298900,0.247027,0.232756,0.221481,0.212978,0.211774
0.946532,0.734035,0.404602,0.296763,0.246468,0.232705,0.221869,0.212108,0.211492
0.943200,0.725169,0.402183,0.297022,0.276197,0.232567,0.221849,0.212440,0.212165
0.944318,0.726140,0.400029,0.297923,0.247287,0.232937,0.221337,0.212477,0.211843
0.945458,0.733404,0.399714,0.298515,0.247497,0.232873,0.221760,0.211706,0.211884
0.943605,0.732964,0.399411,0.297251,0.247269,0.232509,0.222437,0.213396,0.211694
0.943985,0.730950,0.398665,0.299066,0.247612,0.232126,0.221395,0.212389,0.211628
0.941961,0.736254,0.399732,0.299817,0.246691,0.232797,0.222078,0.211965,0.211669
0.942674,0.728925,0.398342,0.298259,0.248239,0.232794,0.221583,0.212808,0.211593
0.943607,0.718704,0.400502,0.298638,0.247957,0.233115,0.221341,0.212334,0.211563
0.942995,0.726794,0.400597,0.298025,0.246445,0.232919,0.222099,0.212023,0.211878
