1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.397867,0.218036,0.092879,0.067487,0.055891,0.056791,0.071699,0.058424,0.057829
0.396063,0.211253,0.086400,0.079302,0.050073,0.050566,0.065924,0.052113,0.051720
0.394905,0.212116,0.087418,0.080074,0.050257,0.050996,0.065896,0.052143,0.051585
0.389946,0.213759,0.087122,0.063230,0.063449,0.050523,0.051264,0.052372,0.051569
0.396676,0.213286,0.086937,0.079996,0.063603,0.067330,0.051488,0.067368,0.051426
0.394404,0.165999,0.086772,0.063429,0.050443,0.050439,0.051395,0.067335,0.051650
0.394028,0.211858,0.111583,0.062922,0.050278,0.050598,0.051294,0.052291,0.051349
0.391910,0.211773,0.087070,0.080171,0.050141,0.065699,0.051680,0.052150,0.051441
0.394877,0.214685,0.111039,0.081152,0.049747,0.065749,0.051331,0.066711,0.051525
0.395934,0.207347,0.087301,0.080142,0.049829,0.064599,0.051571,0.051927,0.051562
0.394402,0.214239,0.087039,0.062791,0.049800,0.064719,0.051463,0.066756,0.051503
0.391922,0.213630,0.086751,0.062210,0.049917,0.051474,0.051185,0.052058,0.051934
0.395025,0.212490,0.086772,0.063263,0.049887,0.065472,0.050922,0.051891,0.051633
0.394929,0.215161,0.087258,0.063396,0.063393,0.052009,0.065479,0.051964,0.051491
0.395487,0.211988,0.087091,0.079064,0.063498,0.050766,0.050815,0.052045,0.051417
0.390852,0.213010,0.086895,0.061775,0.063622,0.051280,0.050910,0.052234,0.051291
0.396070,0.208851,0.087295,0.062954,0.049822,0.050442,0.065619,0.066818,0.051476
0.391220,0.214330,0.086872,0.061952,0.063969,0.064661,0.051102,0.052286,0.051250
0.389403,0.213528,0.087376,0.078627,0.063703,0.064760,0.065431,0.051957,0.051385
0.396194,0.212407,0.085252,0.080118,0.049783,0.064762,0.051135,0.052144,0.051442
0.395356,0.207989,0.087115,0.062392,0.063490,0.064168,0.051435,0.052224,0.051195
0.394478,0.215025,0.087360,0.078919,0.063592,0.064968,0.065342,0.052618,0.051395
0.392864,0.214488,0.111072,0.079379,0.063889,0.050928,0.065540,0.068129,0.051150
0.394657,0.213136,0.113099,0.063808,0.049911,0.064386,0.050961,0.051885,0.066542
0.390114,0.212461,0.086730,0.062751,0.065072,0.050554,0.051379,0.051731,0.051369
0.390151,0.214334,0.086786,0.079174,0.049869,0.050552,0.050949,0.066844,0.051415
0.388353,0.212573,0.087338,0.081329,0.050746,0.064686,0.065952,0.052003,0.051556
0.395803,0.213294,0.111152,0.062014,0.049723,0.051294,0.065720,0.052594,0.066219
