1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.410646,0.304426,0.249021,0.214026,0.151289,0.123072,0.110338,0.130725,0.121806
0.406270,0.296403,0.243703,0.193416,0.138920,0.115694,0.106534,0.119559,0.115365
0.403032,0.297205,0.243578,0.197106,0.133106,0.117254,0.107384,0.117917,0.114249
0.407175,0.299290,0.244234,0.196385,0.133885,0.109484,0.110950,0.120460,0.117187
0.402810,0.298788,0.244185,0.196573,0.133332,0.113482,0.115401,0.116354,0.115274
0.406428,0.298933,0.242347,0.194453,0.138491,0.122116,0.107357,0.121198,0.123313
0.402463,0.296764,0.245890,0.159275,0.139587,0.122764,0.109829,0.126993,0.117294
0.407706,0.300757,0.243903,0.196978,0.133679,0.119785,0.110059,0.120345,0.092858
0.412263,0.300774,0.241368,0.165506,0.132762,0.117221,0.107186,0.127661,0.117934
0.402515,0.299657,0.240626,0.168342,0.135778,0.120335,0.107520,0.123436,0.112629
0.406964,0.296726,0.243433,0.197510,0.144332,0.118251,0.112692,0.124902,0.110508
0.402811,0.296392,0.239669,0.196691,0.138340,0.121868,0.121950,0.099268,0.092333
0.405185,0.299773,0.242625,0.197153,0.133497,0.116088,0.105432,0.124716,0.113790
0.407413,0.298872,0.242977,0.197402,0.135800,0.112337,0.115197,0.121770,0.114424
0.403405,0.298022,0.243170,0.197200,0.135031,0.118378,0.125791,0.119509,0.099545
0.404883,0.298208,0.242015,0.197167,0.141898,0.119610,0.109134,0.119186,0.115803
0.403594,0.298233,0.244615,0.195928,0.133360,0.118341,0.106702,0.117916,0.088878
0.401024,0.298349,0.242252,0.202894,0.133032,0.117769,0.106159,0.116418,0.113152
0.403548,0.296071,0.243175,0.160026,0.139780,0.113107,0.103266,0.131624,0.120256
0.404314,0.298628,0.243058,0.197197,0.136356,0.115667,0.115435,0.123508,0.121608
0.403060,0.297606,0.244144,0.193390,0.150975,0.115447,0.110642,0.121394,0.108285
0.402759,0.297882,0.243199,0.196883,0.133691,0.120519,0.114616,0.119889,0.112078
0.401816,0.296775,0.243607,0.196202,0.136762,0.121232,0.103930,0.119339,0.095792
0.404361,0.297318,0.243549,0.164174,0.134826,0.120083,0.107428,0.137725,0.113727
0.404772,0.297590,0.243159,0.194664,0.139644,0.109043,0.102907,0.118253,0.117679
0.404727,0.295981,0.240474,0.197510,0.134767,0.111266,0.107521,0.101717,0.113006
0.401603,0.296295,0.246289,0.160359,0.132874,0.117367,0.107751,0.115899,0.125873
0.404654,0.297670,0.245741,0.161936,0.138033,0.121788,0.101785,0.123709,0.107931
0.402883,0.296861,0.245418,0.158913,0.135828,0.118394,0.107900,0.124431,0.119171
0.410964,0.298056,0.243229,0.197259,0.134435,0.119077,0.102964,0.118931,0.108744
0.406429,0.299652,0.242560,0.194702,0.140903,0.120016,0.109454,0.119908,0.115883
0.405160,0.295907,0.243820,0.158411,0.136451,0.120543,0.108311,0.123861,0.116068
0.403947,0.298063,0.243795,0.201772,0.138135,0.112504,0.102520,0.126785,0.112303
0.415439,0.298709,0.245753,0.158887,0.141178,0.111494,0.111047,0.129279,0.088470
0.403905,0.299222,0.243659,0.197184,0.145169,0.117683,0.115106,0.114674,0.093093
0.404462,0.298971,0.244816,0.197723,0.135240,0.113863,0.109589,0.124834,0.090686
0.402121,0.296856,0.241798,0.197156,0.139593,0.118705,0.109368,0.117778,0.096204
0.408928,0.297614,0.242038,0.158529,0.133321,0.112256,0.116304,0.126058,0.124675
0.406891,0.297986,0.243368,0.196824,0.132602,0.121080,0.112669,0.125010,0.117287
0.406576,0.297873,0.241174,0.195858,0.141183,0.122702,0.105106,0.117022,0.115642
0.406394,0.297316,0.242200,0.159678,0.134087,0.115438,0.107486,0.128392,0.115050
0.402606,0.298602,0.242042,0.194825,0.133721,0.114746,0.110842,0.129313,0.090821
0.406839,0.298481,0.243315,0.196026,0.134478,0.118717,0.111804,0.118368,0.092761
0.403527,0.298620,0.244008,0.194157,0.132870,0.111890,0.106311,0.116519,0.117242
0.406881,0.298406,0.243956,0.196463,0.139903,0.116233,0.107581,0.125052,0.108580
0.410755,0.297851,0.243937,0.197690,0.131962,0.112417,0.112474,0.122116,0.117308
0.404898,0.296512,0.242281,0.194722,0.132651,0.115215,0.113049,0.116860,0.114552
0.405761,0.298299,0.244745,0.196142,0.133235,0.119161,0.109974,0.122419,0.107839
0.410796,0.296488,0.240963,0.194334,0.134602,0.115486,0.108692,0.120723,0.109058
0.406142,0.296625,0.241618,0.197457,0.133494,0.113307,0.112916,0.122751,0.098395
0.402622,0.298712,0.244013,0.200823,0.141626,0.116837,0.107708,0.124924,0.125439
0.405453,0.296205,0.245246,0.193874,0.138417,0.118019,0.102877,0.094793,0.110817
0.403361,0.297368,0.244254,0.195473,0.134048,0.116174,0.101935,0.117101,0.122212
0.406426,0.297424,0.242212,0.196688,0.134056,0.115714,0.112949,0.120438,0.114411
0.404927,0.296206,0.244141,0.197255,0.134106,0.111295,0.111391,0.125980,0.120194
0.414570,0.295787,0.246044,0.197364,0.140595,0.120056,0.109442,0.125663,0.122626
0.405557,0.297019,0.244363,0.195506,0.151609,0.118246,0.106401,0.132240,0.113210
0.404359,0.296348,0.244433,0.195988,0.136556,0.119547,0.106306,0.121870,0.114221
0.410334,0.296966,0.242690,0.196365,0.135224,0.119238,0.108828,0.124636,0.111753
0.403576,0.295993,0.242789,0.195872,0.131814,0.118382,0.112100,0.125301,0.112645
0.406331,0.295904,0.241478,0.196048,0.130999,0.120038,0.105554,0.114041,0.096727
0.404531,0.297418,0.271515,0.197388,0.137133,0.112924,0.121163,0.127382,0.126004
0.406781,0.295494,0.243400,0.197401,0.132497,0.113088,0.102193,0.098869,0.110865
0.404725,0.297695,0.243361,0.198083,0.137648,0.118570,0.106753,0.136125,0.117287
0.407132,0.298890,0.240954,0.194702,0.134287,0.119335,0.112262,0.122895,0.116578
0.402108,0.297499,0.239749,0.195255,0.139970,0.113425,0.111886,0.117670,0.091270
0.406121,0.298352,0.242765,0.196557,0.134103,0.117582,0.111121,0.119936,0.089063
0.403165,0.298744,0.243158,0.158824,0.143530,0.119383,0.106532,0.121947,0.118126
0.401339,0.297653,0.244572,0.196799,0.134211,0.120862,0.107780,0.122140,0.089371
0.404103,0.295804,0.239682,0.159172,0.138667,0.115943,0.109057,0.121274,0.117426
0.403889,0.297750,0.241830,0.160928,0.140942,0.118081,0.106327,0.119471,0.094852
0.404273,0.295694,0.244705,0.158539,0.135753,0.117094,0.102469,0.123165,0.115100
0.407246,0.295137,0.244838,0.197161,0.133945,0.114485,0.110146,0.125518,0.114536
0.405016,0.296110,0.242137,0.196939,0.133353,0.119678,0.108148,0.122522,0.108523
0.404819,0.296601,0.243600,0.197632,0.133503,0.117366,0.106592,0.121105,0.091497
0.413067,0.296770,0.246027,0.204628,0.142505,0.117123,0.101804,0.122503,0.120236
0.402076,0.297204,0.240963,0.166172,0.133709,0.117641,0.111403,0.095222,0.108100
0.405888,0.296681,0.243332,0.195457,0.140053,0.109478,0.113200,0.117922,0.112831
0.403406,0.296471,0.248829,0.197509,0.132656,0.118962,0.108322,0.123343,0.092419
0.406531,0.296675,0.247541,0.163845,0.136306,0.115097,0.118392,0.124668,0.106555
0.405661,0.297535,0.245273,0.197387,0.142109,0.120194,0.112123,0.123548,0.092857
0.402102,0.298374,0.249016,0.159712,0.132917,0.112427,0.102551,0.121971,0.114397
0.407086,0.297211,0.244970,0.198024,0.133933,0.119098,0.104498,0.132251,0.094540
0.405081,0.297359,0.245168,0.196560,0.133882,0.119566,0.113536,0.123488,0.110423
0.407095,0.298106,0.256240,0.194612,0.134324,0.122356,0.109820,0.122491,0.112624
0.403507,0.296015,0.243787,0.157708,0.134132,0.146453,0.113220,0.125776,0.108920
0.404465,0.296435,0.245013,0.161906,0.134734,0.124629,0.107904,0.131109,0.119019
0.409901,0.297018,0.244095,0.158687,0.134724,0.113055,0.111911,0.115143,0.113117
0.407323,0.295755,0.244072,0.195232,0.134926,0.119293,0.110894,0.122250,0.118917
0.416144,0.296517,0.241097,0.194967,0.133515,0.116950,0.118720,0.123347,0.093848
0.400970,0.297499,0.244725,0.195792,0.141930,0.117110,0.113540,0.123175,0.108802
0.404330,0.297431,0.240977,0.196271,0.133745,0.119756,0.112201,0.118889,0.122964
0.403955,0.296298,0.244619,0.196814,0.137583,0.120859,0.106720,0.121910,0.112705
0.403382,0.296577,0.241432,0.195622,0.134233,0.111708,0.109216,0.117558,0.118737
0.403749,0.296882,0.242383,0.163412,0.132458,0.118844,0.110041,0.120392,0.111760
0.406349,0.298383,0.242846,0.196366,0.142809,0.120562,0.102972,0.113538,0.110738
0.402977,0.296995,0.244403,0.194731,0.134270,0.113414,0.105895,0.114423,0.121659
0.404730,0.300168,0.241062,0.196922,0.134282,0.117904,0.119087,0.124512,0.115072
0.401595,0.302093,0.240303,0.164195,0.133208,0.116832,0.101830,0.123186,0.097697
0.406072,0.302238,0.244230,0.196118,0.137058,0.116305,0.119996,0.128864,0.095206
