threads,chunk_size,average_seconds
2,1,0.552578
2,256,0.302048
2,512,0.300504
2,1024,0.327139
2,2048,0.298251
2,4096,0.297675
2,8192,0.297630
2,16384,0.297743
4,1,0.329758
4,256,0.167020
4,512,0.185279
4,1024,0.191090
4,2048,0.169644
4,4096,0.167239
4,8192,0.165937
4,16384,0.166143
6,1,0.247386
6,256,0.156892
6,512,0.151777
6,1024,0.120217
6,2048,0.131855
6,4096,0.117351
6,8192,0.118115
6,16384,0.119104
8,1,0.197908
8,256,0.102668
8,512,0.100051
8,1024,0.102233
8,2048,0.136256
8,4096,0.099014
8,8192,0.098975
8,16384,0.099686
10,1,0.200669
10,256,0.137519
10,512,0.096612
10,1024,0.100550
10,2048,0.131221
10,4096,0.096636
10,8192,0.100193
10,16384,0.112316
12,1,0.188850
12,256,0.137441
12,512,0.094890
12,1024,0.095488
12,2048,0.118810
12,4096,0.094858
12,8192,0.108887
12,16384,0.119132
14,1,0.181170
14,256,0.137956
14,512,0.095129
14,1024,0.096850
14,2048,0.118895
14,4096,0.095429
14,8192,0.106681
14,16384,0.137961
16,1,0.192068
16,256,0.138409
16,512,0.095793
16,1024,0.096140
16,2048,0.122531
16,4096,0.095924
16,8192,0.098214
16,16384,0.138546
