1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.542176,0.450744,0.264748,0.191179,0.155280,0.152963,0.151472,0.156604,0.157220
0.541497,0.454696,0.269097,0.181976,0.158771,0.153605,0.152419,0.158035,0.159765
0.544983,0.447988,0.270522,0.179469,0.161579,0.150697,0.156466,0.156847,0.154404
0.540809,0.442495,0.266809,0.175280,0.162150,0.151875,0.154568,0.155165,0.156118
0.540062,0.440721,0.263537,0.183577,0.162638,0.154625,0.151270,0.155735,0.158497
0.540539,0.440395,0.244610,0.188454,0.156308,0.156057,0.150950,0.159148,0.152103
0.541449,0.441750,0.262544,0.185809,0.153677,0.150563,0.153369,0.156569,0.157160
0.540068,0.442827,0.262263,0.176175,0.156913,0.156272,0.152102,0.153611,0.158556
0.539302,0.441891,0.261371,0.178565,0.155262,0.153665,0.149743,0.160331,0.152968
0.543945,0.441513,0.258711,0.185925,0.160160,0.155751,0.156868,0.155286,0.156312
0.551650,0.443041,0.253946,0.178202,0.159311,0.151797,0.154287,0.154096,0.155099
0.557842,0.441346,0.258392,0.174454,0.171212,0.150612,0.158436,0.159220,0.153693
0.559275,0.438211,0.258698,0.179537,0.159363,0.154020,0.156244,0.157981,0.155383
0.558353,0.449399,0.264711,0.177675,0.154416,0.153840,0.151252,0.156351,0.156456
0.553110,0.453665,0.255845,0.182050,0.159882,0.153933,0.152364,0.160110,0.153205
0.554565,0.451972,0.260701,0.177998,0.158564,0.156384,0.155032,0.171462,0.157422
0.558262,0.453493,0.259781,0.180272,0.155616,0.151165,0.159790,0.178218,0.155831
0.554139,0.451912,0.258552,0.179424,0.159828,0.155417,0.153697,0.173797,0.153907
0.553773,0.451347,0.262142,0.179327,0.157664,0.151661,0.154838,0.161082,0.157410
0.554276,0.450467,0.260573,0.182225,0.156894,0.153162,0.158806,0.169386,0.155588
0.556002,0.449962,0.246815,0.175289,0.163798,0.155972,0.150945,0.174826,0.161864
0.558240,0.450262,0.251750,0.189225,0.156911,0.155105,0.153613,0.168775,0.155910
0.553866,0.453841,0.251725,0.188372,0.159464,0.152257,0.153872,0.183654,0.157484
0.554203,0.454132,0.249986,0.189625,0.159789,0.154510,0.153367,0.193763,0.155156
0.553732,0.451754,0.248432,0.193352,0.163143,0.152722,0.157169,0.159616,0.155571
0.554528,0.454782,0.251946,0.176707,0.161458,0.155285,0.155360,0.155562,0.157564
0.553726,0.452590,0.259934,0.175284,0.152691,0.153461,0.150837,0.169244,0.158101
0.557660,0.450481,0.263039,0.176972,0.156336,0.155839,0.153243,0.170283,0.157323
0.558139,0.447620,0.255980,0.178789,0.153674,0.159681,0.150661,0.168783,0.155177
0.558753,0.449508,0.258025,0.176277,0.158830,0.153475,0.151008,0.170049,0.155525
0.556922,0.448867,0.263481,0.177483,0.154513,0.152268,0.152205,0.178269,0.154856
0.557057,0.452752,0.248742,0.187336,0.158374,0.153490,0.151572,0.173661,0.157953
0.557559,0.450090,0.252874,0.176223,0.152880,0.151714,0.153414,0.157591,0.155730
0.556357,0.451744,0.255578,0.182457,0.156216,0.149344,0.154000,0.156787,0.153309
0.539287,0.452184,0.255783,0.179396,0.158945,0.151160,0.152393,0.158312,0.156730
0.538800,0.451202,0.261774,0.191746,0.158028,0.152392,0.154075,0.158533,0.158118
0.538195,0.443837,0.262059,0.185161,0.164019,0.154726,0.150642,0.162309,0.154001
0.539370,0.444306,0.254904,0.177605,0.155267,0.153027,0.150086,0.159202,0.155980
0.539388,0.444147,0.256312,0.173745,0.159836,0.153292,0.150957,0.160243,0.159726
0.539070,0.443731,0.264837,0.177169,0.158401,0.154999,0.149710,0.155911,0.154369
0.536645,0.443714,0.261068,0.175889,0.150803,0.150380,0.150808,0.157576,0.155336
0.538932,0.444581,0.265208,0.182594,0.155090,0.154021,0.154245,0.156634,0.155799
0.539238,0.445056,0.250661,0.181040,0.156339,0.154594,0.149516,0.157019,0.157830
0.539632,0.444656,0.259836,0.182454,0.160446,0.150854,0.154888,0.157353,0.154272
0.539394,0.453686,0.264730,0.179420,0.155394,0.150762,0.151011,0.162470,0.154575
0.538849,0.452653,0.261894,0.177666,0.163357,0.155539,0.151016,0.155457,0.155265
0.539931,0.452873,0.265839,0.176771,0.162219,0.153155,0.150999,0.156286,0.154964
0.539832,0.447541,0.269199,0.188229,0.157224,0.151165,0.150299,0.158552,0.154051
0.539086,0.442663,0.270677,0.182684,0.155101,0.152955,0.149375,0.155976,0.159278
0.538071,0.441994,0.260309,0.177822,0.155456,0.154909,0.164385,0.161241,0.157355
0.539247,0.441763,0.266986,0.177532,0.155277,0.151178,0.156518,0.160930,0.155347
0.553532,0.440370,0.261566,0.181294,0.157181,0.154703,0.152296,0.155868,0.152484
0.557767,0.443880,0.261376,0.177288,0.154871,0.153798,0.154735,0.156600,0.154295
0.557634,0.452745,0.263996,0.190821,0.153920,0.155738,0.151765,0.157687,0.153584
0.559503,0.449851,0.261845,0.176578,0.153341,0.154257,0.154281,0.158917,0.158211
0.559013,0.450965,0.260294,0.179375,0.153052,0.152080,0.157539,0.158463,0.158224
0.560634,0.450916,0.259155,0.180750,0.153827,0.152894,0.154562,0.155839,0.156058
0.558322,0.452551,0.249401,0.180720,0.154981,0.158606,0.150354,0.154597,0.155797
0.559037,0.452803,0.251570,0.184090,0.155276,0.156622,0.153154,0.159964,0.155357
