1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.599450,0.333946,0.184552,0.135466,0.108742,0.102692,0.101887,0.102466,0.104175
0.596642,0.332444,0.183168,0.134060,0.106701,0.102294,0.100878,0.101733,0.103717
0.601580,0.331506,0.183382,0.134396,0.106380,0.102096,0.101173,0.101895,0.104142
0.584332,0.332435,0.183223,0.134148,0.106454,0.102221,0.100970,0.101897,0.103444
0.592470,0.329871,0.182992,0.134908,0.106346,0.149985,0.101111,0.101825,0.103692
0.592097,0.332822,0.181545,0.134400,0.106529,0.150131,0.101254,0.102207,0.103850
0.593333,0.331988,0.182167,0.135104,0.106341,0.102198,0.100742,0.101652,0.103484
0.593524,0.332047,0.181066,0.135376,0.106331,0.102143,0.100964,0.101974,0.102734
0.591943,0.331907,0.180229,0.134827,0.106313,0.102145,0.100938,0.101662,0.103672
0.592413,0.332039,0.181102,0.131794,0.106337,0.150099,0.100896,0.101894,0.103766
0.593363,0.333027,0.180170,0.131371,0.106240,0.150066,0.101022,0.101723,0.103999
0.592201,0.332977,0.180251,0.131576,0.106336,0.102203,0.101385,0.101834,0.103949
0.593962,0.324999,0.180149,0.130985,0.106353,0.102232,0.101093,0.101736,0.103980
0.597653,0.322638,0.180813,0.129380,0.106466,0.102215,0.101023,0.101858,0.103626
0.593733,0.323079,0.180322,0.129307,0.106243,0.102049,0.101041,0.101691,0.103560
0.592561,0.331408,0.180152,0.129220,0.106894,0.102095,0.100999,0.101797,0.103842
0.593010,0.331430,0.180885,0.128867,0.106434,0.102255,0.100945,0.101730,0.103607
0.591933,0.331672,0.179939,0.128954,0.106183,0.150198,0.101024,0.101914,0.103773
0.592674,0.324828,0.179296,0.129325,0.106305,0.102028,0.100924,0.149635,0.103553
0.594102,0.322438,0.179717,0.132276,0.106409,0.149847,0.100980,0.101716,0.103742
0.592711,0.322960,0.179915,0.131196,0.106230,0.102165,0.100930,0.101606,0.103500
0.592046,0.323498,0.179570,0.128362,0.106281,0.149945,0.100995,0.101698,0.103356
0.591988,0.322410,0.179495,0.128285,0.106476,0.102227,0.100820,0.101885,0.103408
0.593242,0.323763,0.179919,0.127710,0.106189,0.102041,0.101182,0.101975,0.103965
0.593707,0.323964,0.180118,0.127739,0.106297,0.102162,0.100938,0.101859,0.103541
0.592355,0.322923,0.179456,0.127942,0.106239,0.101956,0.101052,0.101824,0.103436
0.592633,0.323333,0.179784,0.127970,0.106203,0.102302,0.100793,0.101729,0.103521
0.590282,0.323498,0.181263,0.128128,0.106327,0.150232,0.100872,0.101837,0.103669
0.581981,0.359513,0.181857,0.127917,0.106360,0.149916,0.100886,0.101672,0.103950
0.582423,0.321921,0.181480,0.129508,0.106239,0.102081,0.101281,0.101926,0.104075
0.583071,0.320434,0.181385,0.127940,0.106269,0.102014,0.100927,0.101779,0.102478
0.583047,0.321251,0.181696,0.128980,0.106511,0.102327,0.100907,0.101717,0.103440
0.583314,0.321037,0.181278,0.128591,0.106598,0.102257,0.100965,0.101693,0.103795
0.582375,0.321101,0.181633,0.129089,0.106592,0.102339,0.100969,0.101755,0.103821
0.582159,0.322140,0.181280,0.131792,0.106421,0.150058,0.100748,0.101831,0.104284
0.581525,0.320605,0.181094,0.131664,0.106534,0.102142,0.101129,0.101681,0.104039
0.584851,0.322048,0.181341,0.131647,0.106441,0.102400,0.100764,0.101842,0.103149
0.593704,0.321833,0.181197,0.131459,0.106464,0.102050,0.100909,0.101643,0.103942
0.592513,0.322883,0.181233,0.131306,0.106721,0.102039,0.100868,0.101806,0.102858
0.593498,0.322060,0.181873,0.130970,0.106648,0.102072,0.101042,0.101730,0.102837
