1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.535403,0.299329,0.160349,0.116907,0.101936,0.096894,0.097191,0.101665,0.100265
0.530586,0.295925,0.152626,0.114392,0.097645,0.096209,0.091481,0.096437,0.097637
0.529967,0.297347,0.150318,0.114068,0.097380,0.094172,0.091341,0.095850,0.097581
0.530454,0.298274,0.151558,0.114522,0.097759,0.094267,0.092903,0.095969,0.097788
0.548612,0.297125,0.157910,0.113748,0.097701,0.094064,0.092620,0.096040,0.097473
0.538886,0.296099,0.158911,0.114433,0.097530,0.094110,0.091331,0.096458,0.097775
0.532699,0.295378,0.160150,0.113243,0.098069,0.093750,0.092807,0.096086,0.096909
0.535117,0.297431,0.159975,0.115495,0.098000,0.095465,0.092565,0.096173,0.097314
0.549872,0.296102,0.159094,0.120127,0.097273,0.094469,0.092633,0.096203,0.096967
0.534364,0.297432,0.159835,0.114415,0.097562,0.095189,0.092755,0.095595,0.143039
0.536567,0.300040,0.159396,0.113504,0.098237,0.095034,0.092450,0.096521,0.097325
0.534415,0.296670,0.159809,0.114736,0.098284,0.094402,0.091549,0.096476,0.097393
0.531539,0.297457,0.159295,0.116419,0.097542,0.094784,0.092748,0.096185,0.097207
0.533868,0.296929,0.157819,0.115366,0.097322,0.094071,0.092161,0.095672,0.097276
0.550391,0.294780,0.160601,0.116429,0.097559,0.093658,0.091414,0.095639,0.097456
0.523209,0.295568,0.160004,0.124180,0.097398,0.094740,0.093384,0.096446,0.097407
0.531516,0.298767,0.158779,0.116513,0.097338,0.094672,0.091431,0.096482,0.097505
0.530853,0.298122,0.160152,0.113611,0.099180,0.094155,0.092135,0.096891,0.097183
0.531693,0.298516,0.160398,0.119226,0.097586,0.094731,0.092884,0.095874,0.097287
0.546623,0.298836,0.159771,0.113887,0.097560,0.094173,0.092222,0.096745,0.097265
0.529300,0.299279,0.160380,0.115653,0.098656,0.094489,0.092550,0.095256,0.097273
0.531831,0.299398,0.158828,0.115250,0.098216,0.095813,0.092477,0.095884,0.097322
0.532407,0.298258,0.159766,0.119395,0.098081,0.094947,0.092694,0.095983,0.142944
0.531014,0.297257,0.160066,0.121125,0.097364,0.094205,0.091615,0.095427,0.097107
0.530884,0.297906,0.158891,0.116752,0.097626,0.094398,0.091653,0.095794,0.097545
0.530643,0.299093,0.164445,0.115817,0.099456,0.094497,0.092146,0.096065,0.097271
0.527180,0.297646,0.163195,0.116069,0.097933,0.094383,0.091812,0.095995,0.097224
0.520252,0.297299,0.160027,0.118466,0.097757,0.094679,0.092351,0.095734,0.097519
0.521015,0.296734,0.163674,0.119878,0.097843,0.093396,0.093855,0.096022,0.097209
0.520533,0.296359,0.160088,0.119128,0.097472,0.094310,0.091979,0.097488,0.097383
0.521225,0.296005,0.160507,0.118516,0.098157,0.137832,0.093233,0.095643,0.097470
0.521097,0.293044,0.160092,0.117185,0.097366,0.094162,0.091060,0.096194,0.097396
0.521605,0.296017,0.163938,0.115396,0.098610,0.094665,0.092238,0.096708,0.097412
0.520849,0.291964,0.165722,0.119720,0.097346,0.094580,0.092734,0.096337,0.097228
0.520598,0.298610,0.165498,0.112507,0.097338,0.093880,0.092192,0.095722,0.097174
0.530193,0.295947,0.160725,0.116584,0.097681,0.094195,0.091532,0.096423,0.097340
0.531155,0.295263,0.165412,0.115640,0.097634,0.093622,0.091877,0.096107,0.097440
0.533251,0.295310,0.162290,0.114211,0.097778,0.093554,0.091523,0.095929,0.097318
0.545657,0.298116,0.165683,0.114283,0.097552,0.094170,0.092669,0.095946,0.097507
0.531098,0.295296,0.163582,0.118484,0.097443,0.093446,0.092846,0.095039,0.097201
0.531256,0.299296,0.165667,0.120082,0.097632,0.094295,0.092476,0.095799,0.096966
0.550625,0.297182,0.163731,0.117457,0.097407,0.095186,0.092824,0.096127,0.097229
0.531914,0.297171,0.153721,0.122052,0.096477,0.093490,0.092469,0.096055,0.097309
0.531501,0.289367,0.153260,0.118503,0.097358,0.095046,0.091586,0.095434,0.097189
