1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
0.539415,0.512597,0.318025,0.236821,0.199407,0.210915,0.193161,0.172373,0.186612
0.518617,0.509227,0.323702,0.238086,0.197056,0.184890,0.178765,0.173163,0.177452
0.544306,0.510686,0.316550,0.244724,0.213336,0.200537,0.165637,0.168868,0.178009
0.519171,0.535161,0.308850,0.238493,0.187357,0.226025,0.182273,0.159478,0.183956
0.547360,0.534141,0.318621,0.228351,0.179471,0.203101,0.164631,0.173733,0.178740
0.542624,0.533238,0.315049,0.239584,0.190359,0.180246,0.189099,0.162655,0.179512
0.520586,0.536662,0.315808,0.244938,0.195435,0.210710,0.188252,0.167282,0.187819
0.547446,0.538262,0.320052,0.240120,0.195735,0.206779,0.173542,0.167399,0.180514
0.551421,0.509467,0.316203,0.236484,0.187357,0.198506,0.165730,0.167065,0.178693
0.518600,0.533245,0.317415,0.247486,0.199217,0.211085,0.177232,0.166071,0.183929
0.546231,0.540465,0.309155,0.238747,0.189512,0.191531,0.170702,0.177789,0.183371
0.519765,0.509868,0.309871,0.238584,0.189828,0.214198,0.182571,0.175125,0.182890
0.544893,0.534064,0.314453,0.239771,0.192502,0.193318,0.190827,0.165407,0.192610
0.522327,0.507361,0.312640,0.253197,0.191648,0.190665,0.179616,0.169668,0.180462
0.545124,0.517051,0.320157,0.240175,0.200904,0.200969,0.182025,0.173799,0.179607
0.519659,0.518294,0.321377,0.229337,0.194490,0.193774,0.167292,0.156632,0.174323
0.545697,0.532666,0.315733,0.238856,0.190970,0.195041,0.182126,0.174612,0.180244
0.543571,0.510651,0.319917,0.232729,0.185258,0.181104,0.181439,0.169441,0.180132
0.522264,0.536781,0.310467,0.228580,0.187460,0.199082,0.182266,0.164356,0.181585
0.546614,0.512325,0.329733,0.238909,0.193299,0.205586,0.183331,0.178166,0.177829
0.522110,0.512456,0.310991,0.239020,0.184174,0.204496,0.200317,0.168065,0.178638
0.545040,0.536278,0.319302,0.240638,0.188576,0.196123,0.211516,0.174605,0.179735
0.549179,0.527361,0.319780,0.243923,0.197956,0.193128,0.185771,0.180702,0.182405
0.526118,0.509914,0.319647,0.248101,0.184587,0.211994,0.179947,0.174896,0.180115
0.545225,0.509930,0.317708,0.229710,0.187403,0.203137,0.188876,0.173077,0.178938
0.544704,0.510655,0.312387,0.255031,0.192975,0.204663,0.176088,0.167471,0.171004
0.521785,0.509142,0.309974,0.238439,0.199257,0.195965,0.168260,0.174778,0.187601
0.545163,0.508450,0.307709,0.241117,0.198928,0.195294,0.181773,0.182836,0.178037
0.545296,0.506461,0.308976,0.241113,0.204589,0.220031,0.184144,0.173191,0.181189
0.544948,0.535262,0.329664,0.228462,0.191386,0.201814,0.171542,0.169378,0.179389
0.526971,0.510844,0.313615,0.239071,0.225726,0.197968,0.184674,0.175156,0.176677
0.543778,0.534491,0.304694,0.245811,0.183002,0.220591,0.197459,0.169864,0.179720
0.518467,0.507750,0.325020,0.238640,0.200149,0.195412,0.166530,0.164614,0.208991
0.544239,0.536897,0.320495,0.238350,0.199395,0.184004,0.181988,0.175128,0.181591
0.551613,0.535998,0.318565,0.233912,0.197713,0.208902,0.173619,0.167986,0.174592
0.537823,0.509962,0.311593,0.240445,0.194551,0.208605,0.182445,0.172056,0.180482
0.550030,0.510902,0.314515,0.233583,0.189193,0.189000,0.179561,0.177879,0.190026
0.522503,0.509950,0.307726,0.242198,0.192981,0.209745,0.177814,0.178030,0.177508
0.550543,0.507153,0.314377,0.240201,0.185379,0.185857,0.176052,0.167979,0.177761
0.518786,0.535805,0.315624,0.235113,0.196772,0.224331,0.191164,0.170541,0.178825
0.548135,0.533030,0.316307,0.238189,0.185204,0.188838,0.184966,0.177544,0.177726
0.519387,0.515144,0.330809,0.223415,0.195064,0.195510,0.185442,0.163729,0.182501
0.546110,0.524642,0.332267,0.248541,0.203171,0.181456,0.192722,0.168155,0.173736
0.519229,0.506881,0.311487,0.242256,0.194838,0.189743,0.186774,0.178016,0.186896
0.532211,0.536384,0.321357,0.234310,0.192453,0.205095,0.180539,0.166246,0.179437
0.531082,0.509391,0.335243,0.240682,0.180290,0.211398,0.169956,0.169260,0.174280
0.529647,0.508849,0.314087,0.231406,0.183633,0.183381,0.192980,0.168446,0.179129
0.529425,0.536814,0.317363,0.243255,0.184899,0.201371,0.178282,0.170990,0.181517
0.519713,0.535541,0.320612,0.240497,0.198839,0.190411,0.185655,0.166844,0.175261
0.548587,0.531468,0.309327,0.242368,0.186272,0.204832,0.184192,0.173648,0.180450
0.520408,0.533029,0.316830,0.238501,0.184556,0.214142,0.176795,0.176280,0.178185
0.519956,0.535335,0.309894,0.242186,0.178526,0.191001,0.166104,0.183776,0.184565
0.522038,0.534995,0.313034,0.236267,0.190518,0.203461,0.187499,0.169039,0.178776
0.549353,0.536172,0.310095,0.248171,0.189301,0.185456,0.190656,0.174328,0.188508
0.519771,0.539180,0.305414,0.248699,0.199046,0.212369,0.186125,0.173168,0.186390
0.548708,0.537641,0.307795,0.233135,0.188960,0.213438,0.166873,0.175764,0.186315
0.521143,0.537225,0.320534,0.232082,0.189498,0.204618,0.183650,0.179263,0.184456
