1 Threads,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
5.166981,3.410165,2.507740,2.436825,2.434944,2.460779,2.532561,2.556228,2.609608
5.120225,3.293297,2.438421,2.365663,2.268729,2.384218,2.356942,2.411104,2.497497
5.074974,3.290070,2.379665,2.291107,2.312715,2.356104,2.421316,2.425320,2.466837
4.981033,3.688455,2.391968,2.304709,2.323626,2.374565,2.415189,2.405961,2.464255
4.988712,3.443141,2.406417,2.263048,2.303110,2.333775,2.397034,2.424099,2.464224
5.068564,3.335700,2.419066,2.297255,2.277646,2.318247,2.416314,2.449705,2.462126
5.103210,3.324686,2.394593,2.325815,2.333551,2.382227,2.373659,2.433470,2.482680
5.100612,3.324414,2.410830,2.265499,2.295806,2.352169,2.363388,2.424384,2.492046
5.098592,3.346506,2.396708,2.330925,2.283595,2.366818,2.385104,2.412773,2.466728
5.041620,3.435055,2.387331,2.352899,2.315237,2.351524,2.368579,2.444197,2.487895
5.083191,3.300754,2.381067,2.319244,2.306582,2.354654,2.425794,2.444384,2.463333
5.108659,3.301862,2.393805,2.307950,2.277057,2.349160,2.407220,2.435135,2.461423
5.099218,3.293133,2.389317,2.345840,2.316917,2.346652,2.401099,2.437984,2.495845
5.048370,3.433342,2.406549,2.283624,2.341345,2.324120,2.389713,2.452770,2.498438
5.061456,3.562658,2.379073,2.288133,2.333145,2.350342,2.400933,2.429027,2.472599
5.243662,3.788556,2.429118,2.327956,2.311611,2.341709,2.377300,2.443477,2.459331
5.348051,3.503468,2.447866,2.359600,2.301809,2.332976,2.401090,2.433558,2.477055
5.546479,3.328174,2.411756,2.259237,2.282076,2.354352,2.412276,2.433425,2.486557
5.234058,3.334757,2.179288,2.262566,2.332314,2.381026,2.384031,2.433151,2.466765
5.054826,3.315328,2.413022,2.322837,2.289723,2.308971,2.421176,2.443871,2.463911
4.993937,3.376115,2.421863,2.264358,2.311176,2.332173,2.415846,2.437892,2.480173
5.001025,3.418765,2.412829,2.265407,2.313036,2.357100,2.400992,2.456427,2.476778
4.985551,6.579534,2.173298,2.218580,2.271503,2.295562,2.434425,2.437576,2.466629
4.988565,3.547132,2.380325,2.270131,2.296974,2.299383,2.370219,2.450871,2.479829
4.985940,3.258311,2.442227,2.343259,2.288735,2.331534,2.394005,2.431884,2.507950
4.982558,3.253826,2.397642,2.331967,2.320212,2.379073,2.438872,2.416576,2.471827
4.977816,3.345156,2.405269,2.353489,2.304327,2.373326,2.378029,2.440008,2.503835
4.992012,3.325175,2.411291,2.234386,2.300874,2.327873,2.378101,2.451400,2.498988
4.989385,3.323376,2.417818,2.350282,2.285650,2.361382,2.331563,2.432632,2.490323
4.981289,3.288740,2.343816,2.310073,2.343009,2.331652,2.399513,2.432290,2.494627
4.977247,3.325453,2.464658,2.320747,2.299440,2.349967,2.393262,2.438011,2.463504
4.987235,3.337143,2.394673,2.329986,2.288795,2.273595,2.397308,2.441501,2.484830
4.988725,3.264983,2.190614,2.259423,2.314796,2.331023,2.398591,2.437883,2.471550
4.988436,3.252948,2.399599,2.327920,2.310760,2.317893,2.370630,2.441950,2.477382
4.986071,3.291190,2.385263,2.324656,2.279136,2.388153,2.398833,2.456968,2.482024
4.976896,3.322990,2.362082,2.371557,2.332830,2.375696,2.403511,2.422347,2.482459
