1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
5.207150,2.769046,2.306186,2.434423,2.473680,2.549283,2.585392,2.647626,2.699497
5.321129,2.761356,2.301691,2.436697,2.501939,2.545303,2.604543,2.648122,2.727474
5.781291,2.729001,2.290378,2.491890,2.501272,2.519253,2.592097,2.657308,2.698077
5.904041,2.729089,2.287768,2.442579,2.494945,2.523115,2.606371,2.670429,2.729717
5.307643,2.744495,2.299801,2.477459,2.467302,2.545125,2.605216,2.653368,2.719875
5.141003,2.749182,2.295499,2.462451,2.481270,2.529720,2.609531,2.640876,2.706411
5.179229,2.700514,2.287234,2.457180,2.475872,2.536610,2.591253,2.681424,2.697591
5.205519,2.737890,2.319197,2.486812,2.529435,2.544856,2.588421,2.658189,2.709392
5.109113,2.727482,2.313435,2.471954,2.497280,2.535840,2.581555,2.668756,2.704091
5.142335,2.725567,2.300222,2.466975,2.510114,2.554561,2.606489,2.666768,2.701787
5.373694,2.743894,2.277928,2.445631,2.504792,2.521622,2.584406,2.640306,2.727133
5.683122,2.718207,2.285827,2.454091,2.503361,2.575508,2.605850,2.634525,2.722505
7.209073,2.738570,2.277167,2.443390,2.479240,2.540660,2.596181,2.635459,2.719651
5.506289,2.752161,2.300981,2.468465,2.504698,2.519130,2.585358,2.640625,2.720221
5.078656,2.721493,2.311828,2.445830,2.496712,2.528760,2.556483,2.660706,2.701474
179.231380,2.741880,2.285908,2.445071,2.499701,2.556506,2.590148,2.642112,2.697205
5.828193,2.749264,2.309047,2.455749,2.495422,2.558405,2.591816,2.661923,2.722395
4.867167,2.832661,2.326031,2.430201,2.492657,2.561737,2.605936,2.663093,2.702914
4.856491,2.873100,2.296215,2.455319,2.469937,2.546662,2.584755,2.666402,2.722093
4.873611,2.744720,2.303959,2.438261,2.478748,2.548561,2.599843,2.657471,2.731564
4.897589,2.860457,2.296850,2.465423,2.474219,2.528318,2.596911,2.663916,2.708171
4.878803,2.744650,2.294073,2.471915,2.472542,2.538673,2.585922,2.642918,2.700811
4.861563,2.698670,2.286471,2.471772,2.478507,2.584987,2.577751,2.670717,2.716744
4.875494,2.821850,2.292527,2.451650,2.504631,2.532035,2.598078,2.667758,2.700557
