1 Thread,2 Threads,4 Threads,6 Threads,8 Threads,10 Threads,12 Threads,14 Threads,16 Threads
4.451260,2.590751,2.296631,2.492223,2.529168,2.550450,2.599669,2.689366,2.710514
4.422877,2.743762,2.313325,2.484843,2.512118,2.580867,2.645918,2.692032,2.717503
4.314676,2.731375,2.283456,2.469741,2.515507,2.557866,2.629022,2.689487,2.740661
4.374738,2.564274,2.296362,2.464608,2.526386,2.586495,2.606553,2.697260,2.732658
4.325804,2.731698,2.302725,2.460169,2.514752,2.576460,2.613773,2.665032,2.742374
4.407408,2.729862,2.298958,2.506084,2.538515,2.570651,2.620500,2.697863,2.712111
4.406152,2.728140,2.288841,2.484674,2.519970,2.543379,2.595587,2.651776,2.733404
4.306177,2.591605,2.300497,2.464362,2.519498,2.554942,2.632820,2.690917,2.729202
4.424164,2.699906,2.310153,2.484631,2.535392,2.568165,2.631713,2.694437,2.740711
4.405000,2.739108,2.318703,2.504760,2.540609,2.556993,2.616444,2.691040,2.741197
